Hej! Har haft en lang dag på arbejdet, men det gik okay. Glæder mig til at komme hjem og bare slappe af lidt.
Synes du skulle hente noget mad på vej hjem. Jeg er ret sulten og har ikke rigtig lyst til at lave noget i aften.
Mødet gik faktisk bedre end jeg troede. Chefen virkede tilfreds med vores præsentation, så det var en lettelse.
Er du hjemme snart? Hunden trænger til en tur og jeg sidder stadig fast i et opkald med en kunde der ikke stopper.
Husker du at vi skal hos mine forældre på søndag? Mor spurgte igen i dag, så vi skal nok svare hende snart.
Tog bussen i dag fordi cyklen har en punktering. Det tog evigheder, der var kø hele vejen ind til byen.
Jeg bestilte pizza. Håber det er okay, jeg var for træt til at tænke over hvad vi ellers skulle have i aften.
Er færdig om en halv time cirka. Kan du huske at tage vasketøjet ud af maskinen? Det har stået siden i morges.
Kaffen i kantinen var så dårlig i dag, jeg forstår ikke hvordan de kan servere det med god samvittighed til folk.
Mødte Thomas fra gymnasiet på gaden i dag. Han ser godt ud, vi snakkede lidt. Vil du med til hans fest næste uge?
Har du set min blå trøje? Den lå på stolen i går men nu er den væk og jeg kan ikke finde den nogen steder.
Det regner vildt meget her. Glemte paraply selvfølgelig, så jeg er helt gennemvåd nu. Glæder mig til tørt tøj.
Fik endelig bestilt de flybilletter vi talte om. Afgang fredag aften, så vi har hele weekenden. Tjek din mail.
Er du okay? Du virkede lidt stille i telefon tidligere. Skriv hvis du vil snakke, jeg er vågen endnu et stykke tid.Sonnet 4.6
hejhej
